"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"FV2019 - Stemmeberettigede";"FV2019 - Afgivne stemmer";"FV2019 - Blanke stemmer";"FV2019 - Andre ugyldige stemmer";"FV2019 - Gyldige stemmer";"FV2019 - A. Socialdemokratiet";"FV2019 - B. Radikale Venstre";"FV2019 - C. Det Konservative Folkeparti";"FV2019 - F. SF - Socialistisk Folkeparti";"FV2019 - I. Liberal Alliance";"FV2019 - K. Kristendemokraterne";"FV2019 - O. Dansk Folkeparti";"FV2019 - V. Venstre, Danmarks Liberale Parti";"FV2019 - Ø. Enhedslisten - De Rød-Grønne";"FV2019 - Å. Alternativet";"FV2019 - D. Nye Borgerlige";"FV2019 - P. Stram Kurs";"FV2019 - E. Klaus Riskær Pedersen";"FV2019 - 1. Uden for partierne";"FV2019 - 2. Uden for partierne";"FV2019 - 3. Uden for partierne";"FV2019 - 4. Uden for partierne";"FV2019 - 5. Uden for partierne"
"265004";"265004";"36";"5";"2";"3678";"3111";"17";"19";"3075";"784";"374";"133";"386";"57";"31";"219";"576";"278";"111";"57";"46";"23";"0";"-";"-";"-";"-"
"265005";"265005";"36";"5";"2";"5316";"4355";"48";"6";"4301";"1197";"444";"243";"487";"121";"34";"326";"717";"323";"146";"102";"117";"44";"0";"-";"-";"-";"-"
"265006";"265006";"36";"5";"2";"5830";"5308";"26";"6";"5276";"1053";"608";"551";"528";"157";"33";"247";"1531";"303";"134";"68";"29";"34";"0";"-";"-";"-";"-"
"265007";"265007";"36";"5";"2";"3322";"3056";"18";"6";"3032";"863";"249";"238";"304";"53";"38";"222";"763";"156";"42";"42";"37";"25";"0";"-";"-";"-";"-"
"265008";"265008";"36";"5";"2";"1865";"1705";"17";"4";"1684";"413";"155";"138";"141";"48";"18";"145";"443";"82";"31";"31";"21";"18";"0";"-";"-";"-";"-"
"265009";"265009";"36";"5";"2";"935";"827";"8";"1";"818";"150";"61";"41";"92";"22";"5";"76";"231";"62";"31";"20";"16";"11";"0";"-";"-";"-";"-"
"265010";"265010";"36";"5";"2";"5306";"4269";"42";"27";"4200";"1172";"459";"204";"458";"83";"40";"342";"657";"386";"159";"86";"116";"37";"1";"-";"-";"-";"-"
"265011";"265011";"36";"5";"2";"2601";"2303";"12";"10";"2281";"478";"183";"163";"190";"63";"18";"213";"627";"117";"85";"64";"41";"38";"1";"-";"-";"-";"-"
"265013";"265013";"36";"5";"2";"4826";"4298";"26";"15";"4257";"905";"299";"443";"299";"146";"31";"423";"1237";"120";"82";"124";"96";"50";"2";"-";"-";"-";"-"
"265014";"265014";"36";"5";"2";"2192";"1976";"13";"6";"1957";"486";"141";"148";"120";"60";"9";"229";"518";"69";"46";"58";"48";"24";"1";"-";"-";"-";"-"
"265015";"265015";"36";"5";"2";"2681";"2404";"20";"10";"2374";"539";"159";"259";"136";"58";"18";"233";"713";"65";"42";"82";"44";"26";"0";"-";"-";"-";"-"
"265016";"265016";"36";"5";"2";"1735";"1601";"17";"5";"1579";"379";"107";"126";"165";"34";"9";"155";"433";"62";"20";"42";"37";"9";"1";"-";"-";"-";"-"
"265017";"265017";"36";"5";"2";"3289";"2892";"21";"7";"2864";"768";"172";"185";"268";"45";"37";"316";"751";"128";"50";"66";"51";"27";"0";"-";"-";"-";"-"
"265018";"265018";"36";"5";"2";"826";"726";"7";"1";"718";"149";"41";"42";"43";"2";"11";"87";"228";"31";"19";"33";"24";"8";"0";"-";"-";"-";"-"
"265020";"265020";"36";"5";"2";"1203";"1096";"8";"0";"1088";"227";"82";"65";"106";"19";"18";"117";"317";"60";"25";"28";"16";"8";"0";"-";"-";"-";"-"
"265021";"265021";"36";"5";"2";"3564";"3125";"17";"4";"3104";"503";"499";"206";"498";"111";"18";"103";"552";"333";"195";"31";"31";"23";"1";"-";"-";"-";"-"
"269001";"269001";"35";"5";"2";"3504";"3067";"20";"8";"3039";"730";"181";"226";"261";"76";"28";"386";"815";"92";"50";"74";"89";"29";"2";"-";"-";"-";"-"
"269004";"269004";"35";"5";"2";"5843";"5213";"33";"14";"5166";"1033";"362";"514";"311";"212";"29";"480";"1713";"144";"74";"138";"105";"51";"0";"-";"-";"-";"-"
"269005";"269005";"35";"5";"2";"7275";"6411";"46";"15";"6350";"1339";"485";"565";"499";"202";"39";"561";"2030";"185";"87";"183";"113";"62";"0";"-";"-";"-";"-"
"270001";"270001";"23";"3";"1";"3680";"3077";"18";"10";"3049";"690";"137";"214";"185";"64";"45";"399";"780";"166";"49";"175";"96";"44";"0";"5";"-";"-";"-"
"270002";"270002";"23";"3";"1";"2460";"2065";"12";"12";"2041";"446";"125";"147";"151";"41";"30";"182";"472";"148";"96";"107";"55";"35";"0";"6";"-";"-";"-"
