driver,lat,lon,occupied,timestamp
egteir,37.79141,-122.40192,0,1211962480
egteir,37.79377,-122.40267,0,1211962418
egteir,37.79644,-122.40463,0,1211962358
egteir,37.79855,-122.40767,0,1211962298
egteir,37.79985,-122.41076,0,1211962238
egteir,37.80053,-122.40756,0,1211962177
egteir,37.79796,-122.40668,0,1211962122
egteir,37.79706,-122.40554,0,1211962057
egteir,37.79539,-122.40212,0,1211961996
egteir,37.79322,-122.4012,0,1211961935
egteir,37.7928,-122.39732,0,1211961875
egteir,37.79342,-122.39725,0,1211961847
egteir,37.79396,-122.39401,0,1211961786
egteir,37.79398,-122.39679,0,1211961726
egteir,37.79511,-122.39802,0,1211961666
egteir,37.79621,-122.40046,0,1211961606
egteir,37.798,-122.40553,0,1211961545
egteir,37.79475,-122.40486,0,1211961484
egteir,37.79236,-122.40686,0,1211961424
egteir,37.79174,-122.41148,0,1211961364
egteir,37.79341,-122.41272,0,1211961304
egteir,37.7934,-122.41273,1,1211961290
egteir,37.79341,-122.41273,1,1211961230
egteir,37.79238,-122.41258,1,1211961186
egteir,37.78802,-122.41154,1,1211961125
egteir,37.78302,-122.41076,1,1211961070
egteir,37.78067,-122.4083,1,1211961004
egteir,37.77841,-122.4055,1,1211960945
egteir,37.77717,-122.40392,1,1211960886
egteir,37.77102,-122.39743,1,1211960824
egteir,37.75827,-122.39218,1,1211960771
egteir,37.74506,-122.39486,1,1211960723
egteir,37.73433,-122.40506,1,1211960707
egteir,37.72646,-122.40201,1,1211960647
egteir,37.71378,-122.39679,1,1211960603
egteir,37.70076,-122.3931,1,1211960559
egteir,37.68757,-122.39012,1,1211960520
egteir,37.67421,-122.38947,1,1211960477
egteir,37.66318,-122.39975,1,1211960427
egteir,37.65112,-122.40673,1,1211960381
egteir,37.63771,-122.40426,1,1211960343
egteir,37.62453,-122.4005,1,1211960281
egteir,37.61515,-122.39086,1,1211960221
egteir,37.61488,-122.3901,1,1211960160
egteir,37.61488,-122.3901,0,1211960130
egteir,37.61383,-122.39404,0,1211960070
egteir,37.61723,-122.38683,0,1211960010
egteir,37.6155,-122.38744,0,1211959949
egteir,37.61651,-122.386,0,1211959861
egteir,37.61648,-122.38604,0,1211959801
egteir,37.61642,-122.3861,0,1211957717
egteir,37.6164,-122.38612,0,1211957553
egteir,37.61641,-122.38614,0,1211957492
egteir,37.61642,-122.38617,0,1211957372
egteir,37.61642,-122.38611,0,1211957312
egteir,37.61557,-122.38854,0,1211956114
egteir,37.61479,-122.39818,0,1211956058
egteir,37.62756,-122.40271,0,1211956002
egteir,37.64104,-122.40608,0,1211955950
egteir,37.65435,-122.40714,0,1211955903
egteir,37.66528,-122.39731,0,1211955857
egteir,37.67697,-122.38865,0,1211955812
egteir,37.6903,-122.39111,0,1211955767
egteir,37.70391,-122.39417,0,1211955726
egteir,37.71641,-122.39894,0,1211955677
egteir,37.72944,-122.40367,0,1211955630
egteir,37.74924,-122.40388,0,1211955552
egteir,37.76275,-122.40548,0,1211955500
egteir,37.76874,-122.4075,0,1211955474
egteir,37.77233,-122.42374,0,1211955411
egteir,37.77454,-122.425,0,1211955353
egteir,37.77379,-122.43235,0,1211955290
egteir,37.77278,-122.44004,0,1211955229
egteir,37.77219,-122.44462,0,1211955170
egteir,37.77499,-122.44636,0,1211955113
egteir,37.77506,-122.45221,0,1211955047
egteir,37.7744,-122.45275,0,1211955029
egteir,37.77435,-122.45275,1,1211955023
egteir,37.77437,-122.45272,1,1211954966
egteir,37.77409,-122.45274,1,1211954952
egteir,37.7727,-122.44879,1,1211954901
egteir,37.77366,-122.44014,1,1211954832
egteir,37.77478,-122.43224,1,1211954772
egteir,37.7755,-122.42581,1,1211954712
egteir,37.77583,-122.42393,1,1211954661
egteir,37.77693,-122.42276,1,1211954612
egteir,37.77761,-122.41772,1,1211954552
egteir,37.77891,-122.41466,1,1211954492
egteir,37.77962,-122.41368,0,1211954450
egteir,37.78113,-122.41198,0,1211954387
egteir,37.78113,-122.41197,1,1211954381
egteir,37.78196,-122.41344,1,1211954343
egteir,37.78099,-122.42077,1,1211954283
egteir,37.78079,-122.42224,1,1211954223
egteir,37.78059,-122.42391,1,1211954163
egteir,37.77976,-122.4304,1,1211954103
egteir,37.77977,-122.43198,1,1211954043
egteir,37.78342,-122.43273,1,1211953983
egteir,37.78392,-122.43288,0,1211953958
egteir,37.78418,-122.43326,0,1211953933
egteir,37.78401,-122.43432,0,1211953920
egteir,37.78326,-122.43984,0,1211953859
egteir,37.78274,-122.44392,0,1211953791
egteir,37.78177,-122.45215,0,1211953729
egteir,37.77991,-122.45577,0,1211953669
egteir,37.77847,-122.45534,0,1211953486
egteir,37.778,-122.45524,0,1211953474
egteir,37.778,-122.45524,0,1211953449
egteir,37.778,-122.45524,1,1211953437
egteir,37.77547,-122.45474,1,1211953385
egteir,37.7746,-122.45456,1,1211953334
egteir,37.77234,-122.45205,1,1211953265
egteir,37.77336,-122.44349,1,1211953205
egteir,37.77445,-122.4354,1,1211953145
egteir,37.7754,-122.42793,1,1211953085
egteir,37.77561,-122.42578,1,1211953067
egteir,37.77561,-122.42578,1,1211953053
egteir,37.77259,-122.42363,1,1211952993
egteir,37.76965,-122.41588,1,1211952934
egteir,37.76543,-122.40497,1,1211952872
egteir,37.75215,-122.40292,1,1211952818
egteir,37.73885,-122.40799,1,1211952758
egteir,37.7265,-122.40215,1,1211952707
egteir,37.71367,-122.39686,1,1211952661
egteir,37.70077,-122.39316,1,1211952613
egteir,37.68753,-122.39021,1,1211952567
egteir,37.67375,-122.38978,1,1211952517
egteir,37.66285,-122.40038,1,1211952471
egteir,37.65036,-122.40668,1,1211952427
egteir,37.63668,-122.40388,1,1211952375
egteir,37.62352,-122.40069,1,1211952326
egteir,37.61457,-122.39125,1,1211952265
egteir,37.61758,-122.38697,1,1211952210
egteir,37.61637,-122.38615,0,1211950827
egteir,37.61639,-122.38613,0,1211950275
egteir,37.61638,-122.38614,0,1211950236
egteir,37.61637,-122.38614,0,1211950035
egteir,37.61638,-122.38614,0,1211949926
egteir,37.61637,-122.38612,0,1211949855
egteir,37.61637,-122.38611,0,1211949795
egteir,37.61576,-122.38768,0,1211947747
egteir,37.62156,-122.40051,0,1211947624
egteir,37.63488,-122.40358,0,1211947571
egteir,37.64817,-122.40673,0,1211947518
egteir,37.66139,-122.40297,0,1211947469
egteir,37.67161,-122.39142,0,1211947421
egteir,37.68515,-122.38996,0,1211947378
egteir,37.69749,-122.39273,0,1211947331
egteir,37.71114,-122.39577,0,1211947282
egteir,37.72395,-122.40142,0,1211947224
egteir,37.73711,-122.40269,0,1211947163
egteir,37.74845,-122.39311,0,1211947107
egteir,37.7618,-122.39272,0,1211947055
egteir,37.77386,-122.40022,0,1211946995
egteir,37.77712,-122.40394,0,1211946940
egteir,37.77855,-122.40587,0,1211946885
egteir,37.77855,-122.40587,1,1211946873
egteir,37.78041,-122.40802,1,1211946833
egteir,37.78219,-122.41071,1,1211946769
egteir,37.78188,-122.41428,1,1211946705
egteir,37.78112,-122.42066,1,1211946649
egteir,37.78081,-122.42232,1,1211946584
egteir,37.7804,-122.42555,1,1211946528
egteir,37.77945,-122.43305,1,1211946474
egteir,37.7788,-122.43789,1,1211946402
egteir,37.78084,-122.43906,1,1211946358
egteir,37.78551,-122.44006,1,1211946282
egteir,37.78716,-122.43946,1,1211946210
egteir,37.78716,-122.43946,0,1211946207
egteir,37.7882,-122.43913,0,1211946146
egteir,37.78633,-122.44008,0,1211946092
egteir,37.7843,-122.43988,0,1211946032
egteir,37.78363,-122.44298,0,1211945971
egteir,37.78217,-122.44153,0,1211945916
egteir,37.78147,-122.44297,0,1211945850
egteir,37.78148,-122.44298,1,1211945848
egteir,37.78147,-122.44298,1,1211945815
egteir,37.78139,-122.44019,1,1211945749
egteir,37.77792,-122.43832,1,1211945703
egteir,37.77357,-122.43751,1,1211945626
egteir,37.76918,-122.43594,1,1211945565
egteir,37.76708,-122.43562,1,1211945505
egteir,37.76461,-122.43536,1,1211945450
egteir,37.76432,-122.43257,1,1211945383
egteir,37.76477,-122.42469,1,1211945323
egteir,37.76438,-122.42181,1,1211945263
egteir,37.76437,-122.4218,0,1211945246
egteir,37.75997,-122.42142,0,1211945186
egteir,37.75728,-122.42116,0,1211945126
egteir,37.75278,-122.42073,0,1211945066
egteir,37.74809,-122.42037,0,1211945006
egteir,37.7481,-122.42139,0,1211944946
egteir,37.7479,-122.42479,0,1211944890
egteir,37.74734,-122.427,0,1211944835
egteir,37.74734,-122.427,1,1211944827
egteir,37.74735,-122.427,1,1211944769
egteir,37.74747,-122.43099,1,1211944709
egteir,37.75059,-122.43183,1,1211944653
egteir,37.75187,-122.43084,1,1211944588
egteir,37.75158,-122.43065,0,1211944526
egteir,37.75172,-122.42843,0,1211944465
egteir,37.75331,-122.42645,0,1211944425
egteir,37.75512,-122.42385,0,1211944365
egteir,37.75528,-122.4244,0,1211944341
egteir,37.75551,-122.42442,1,1211944331
egteir,37.75678,-122.42436,1,1211944267
egteir,37.76002,-122.42371,1,1211944206
egteir,37.76549,-122.4242,1,1211944159
egteir,37.76743,-122.42219,1,1211944085
egteir,37.77194,-122.4202,1,1211944024
egteir,37.77339,-122.41831,1,1211943964
egteir,37.77557,-122.41557,1,1211943904
egteir,37.77986,-122.41061,1,1211943844
egteir,37.78198,-122.40747,1,1211943791
egteir,37.78473,-122.40406,1,1211943728
egteir,37.78782,-122.39987,1,1211943668
egteir,37.78782,-122.39981,0,1211943640
egteir,37.78642,-122.39787,0,1211943580
egteir,37.78541,-122.3965,0,1211943560
egteir,37.78306,-122.39334,0,1211943499
egteir,37.78177,-122.39187,0,1211943443
egteir,37.77891,-122.39262,0,1211943384
egteir,37.77587,-122.38768,0,1211943318
egteir,37.7701,-122.38632,0,1211943257
egteir,37.76424,-122.38786,0,1211943197
egteir,37.75908,-122.38744,0,1211943137
egteir,37.7566,-122.38716,0,1211943103
egteir,37.75279,-122.3876,0,1211943043
egteir,37.75006,-122.39078,0,1211942983
egteir,37.74989,-122.39532,0,1211942925
egteir,37.7512,-122.39527,0,1211942864
egteir,37.75128,-122.39462,0,1211942803
egteir,37.75128,-122.39462,0,1211942743
egteir,37.75128,-122.39462,0,1211942688
egteir,37.75129,-122.39462,0,1211942623
egteir,37.75172,-122.39489,0,1211942565
egteir,37.75135,-122.39494,0,1211942504
egteir,37.75153,-122.39353,0,1211942441
